# Scene: /home/lighthouse/ros2_ws/src/lighthouse/lighthouse_isaac_hospital_scene/isaac_hospital_scene_spot.usd
# Total prims listed: 1893
TYPE                           X         Y         Z        QX      QY      QZ      QW     R_deg   P_deg   Y_deg  PATH
----------------------------------------------------------------------------------------------------------------------
Xform                      0.000     0.000     0.000     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World
Xform                      0.000     0.000     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot
Xform                      0.298     0.055     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fl_hip
Xform                      0.298     0.166     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fl_uleg
Xform                      0.323     0.166     0.380     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fl_lleg
Xform                      0.323     0.166     0.043     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fl_foot
Xform                      0.298    -0.055     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fr_hip
Xform                      0.298    -0.166     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fr_uleg
Xform                      0.323    -0.166     0.380     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fr_lleg
Xform                      0.323    -0.166     0.043     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/fr_foot
Xform                     -0.298     0.055     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hl_hip
Xform                     -0.298     0.166     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hl_uleg
Xform                     -0.273     0.166     0.380     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hl_lleg
Xform                     -0.273     0.166     0.043     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hl_foot
Xform                     -0.298    -0.055     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hr_hip
Xform                     -0.298    -0.166     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hr_uleg
Xform                     -0.273    -0.166     0.380     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hr_lleg
Xform                     -0.273    -0.166     0.043     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/hr_foot
Xform                      0.000     0.000     0.700     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/body
Xform                      0.223     0.000     0.827     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/body/XT_32
Xform                      0.223     0.000     0.827     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/body/XT_32/materials
Mesh                       0.223     0.000     0.779     0.000   0.000   0.707   0.707      0.00    0.00   90.00  /World/spot/body/XT_32/XT_32_mesh
OmniLidar                  0.223     0.000     0.827     0.000   0.000   0.000   1.000      0.00    0.00    0.00  /World/spot/body/XT_32/PandarXT_32_10hz
Xform                      0.260     0.000     0.870     0.000   0.000  -0.707   0.707      0.00    0.00  -90.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA
Camera                     0.260     0.000     0.870     0.500  -0.500  -0.500   0.500     90.00    0.00  -90.00  /World/spot/body/Camera_SG2_OX03CC_5200_GMSL2_H60YA/Camera_SG2_OX03CC_5200_GMSL2_H60YA
